time_ms,src,dst,bytes
-0.073,15,0,1200
-0.072,15,0,1200
-0.071,5,6,1200
-0.070,12,13,1200
-0.070,6,7,1200
-0.070,7,8,1200
-0.068,6,7,1200
-0.065,11,12,1200
-0.063,14,15,1200
-0.063,15,0,1200
-0.063,8,9,1200
-0.062,5,6,1200
-0.061,0,1,1200
-0.060,4,5,1200
-0.058,3,4,1200
-0.058,7,8,1200
-0.058,8,9,1200
-0.057,0,1,1200
-0.057,1,2,1200
-0.057,5,6,1200
-0.055,2,3,1200
-0.054,14,15,1200
-0.053,12,13,1200
-0.053,9,10,1200
-0.052,2,3,1200
-0.052,10,11,1200
-0.052,10,11,1200
-0.051,13,14,1200
-0.050,13,14,1200
-0.050,0,1,1200
-0.049,4,5,1200
-0.049,6,7,1200
-0.048,14,15,1200
-0.048,1,2,1200
-0.046,3,4,1200
-0.045,7,8,1200
-0.044,3,4,1200
-0.043,11,12,1200
-0.043,6,7,1200
-0.041,10,11,1200
-0.040,12,13,1200
-0.039,0,1,1200
-0.039,10,11,1200
-0.039,7,8,1200
-0.038,5,6,1200
-0.037,0,1,1200
-0.036,6,7,1200
-0.036,2,3,1200
-0.036,3,4,1200
-0.035,3,4,1200
-0.034,2,3,1200
-0.033,7,8,1200
-0.031,12,13,1200
-0.031,4,5,1200
-0.030,1,2,1200
-0.029,15,0,1200
-0.027,0,1,1200
-0.023,0,1,1200
-0.023,8,9,1200
-0.022,1,2,1200
-0.022,7,8,1200
-0.022,2,3,1200
-0.021,7,8,1200
-0.021,15,0,1200
-0.016,1,2,1200
-0.015,3,4,1200
-0.015,11,12,1200
-0.015,3,4,1200
-0.014,13,14,1200
-0.013,9,10,1200
-0.013,6,7,1200
-0.012,9,10,1200
-0.011,11,12,1200
-0.009,9,10,1200
-0.008,8,9,1200
-0.007,9,10,1200
-0.006,14,15,1200
-0.006,3,4,1200
-0.005,8,9,1200
-0.005,14,15,1200
-0.004,7,8,1200
-0.003,10,11,1200
-0.002,15,0,1200
-0.002,1,2,1200
-0.002,13,14,1200
-0.002,3,4,1200
-0.001,13,14,1200
0.000,15,0,1200
0.000,5,6,1200
0.003,8,9,1200
0.008,5,6,1200
0.008,0,1,1200
0.008,15,0,1200
0.010,3,4,1200
0.010,2,3,1200
0.010,4,5,1200
0.010,9,10,1200
0.011,12,13,1200
0.012,0,1,1200
0.012,15,0,1200
0.015,15,0,1200
0.015,5,6,1200
0.016,8,9,1200
0.017,14,15,1200
0.019,7,8,1200
0.020,3,4,1200
0.022,10,11,1200
0.022,5,6,1200
0.022,6,7,1200
0.023,1,2,1200
0.023,14,15,1200
0.024,13,14,1200
0.026,15,0,1200
0.026,8,9,1200
0.027,0,1,1200
0.028,9,10,1200
0.028,7,8,1200
0.030,7,8,1200
0.030,5,6,1200
0.030,14,15,1200
0.032,6,13,1200
0.032,6,7,1200
0.032,1,2,1200
0.032,10,11,1200
0.033,13,14,1200
0.033,4,5,1200
0.033,13,14,1200
0.033,13,14,1200
0.034,9,10,1200
0.034,0,1,1200
0.035,7,8,1200
0.036,0,1,1200
0.036,13,14,1200
0.037,10,11,1200
0.037,6,7,1200
0.038,6,7,1200
0.038,7,8,1200
0.039,2,3,1200
0.039,13,14,1200
0.040,13,14,1200
0.042,1,2,1200
0.042,13,14,1200
0.043,13,14,1200
0.043,10,11,1200
0.043,1,2,1200
0.043,3,4,1200
0.044,3,4,1200
0.045,6,7,1200
0.045,9,10,1200
0.048,2,3,1200
0.048,0,1,1200
0.051,9,10,1200
0.052,4,5,1200
0.052,7,8,1200
0.053,14,15,1200
0.056,1,2,1200
0.056,3,4,1200
0.057,1,2,1200
0.057,1,2,1200
0.057,11,12,1200
0.059,7,8,1200
0.059,14,15,1200
0.061,5,6,1200
0.061,15,0,1200
0.062,15,0,1200
0.064,1,2,1200
0.065,4,5,1200
0.065,12,13,1200
0.066,5,6,1200
0.066,5,6,1200
0.067,11,12,1200
0.068,8,9,1200
0.069,2,3,1200
0.070,5,6,1200
0.071,5,6,1200
0.073,8,9,1200
0.074,4,5,1200
0.075,7,8,1200
0.077,13,14,1200
0.077,3,4,1200
0.080,10,11,1200
0.084,6,7,1200
0.086,4,5,1200
0.086,4,5,1200
0.088,0,1,1200
0.089,10,11,1200
0.089,7,8,1200
0.090,12,13,1200
0.091,7,8,1200
0.091,5,6,1200
0.093,0,1,1200
0.093,15,0,1200
0.094,4,5,1200
0.095,1,2,1200
0.095,11,12,1200
0.096,0,1,1200
0.096,2,3,1200
0.096,4,5,1200
0.099,12,8,1200
0.099,1,2,1200
0.099,0,1,1200
0.100,13,14,1200
0.100,14,15,1200
0.100,4,5,1200
0.101,0,1,1200
0.102,15,0,1200
0.102,9,10,1200
0.102,10,11,1200
0.103,9,10,1200
0.103,8,9,1200
0.104,4,5,1200
0.104,0,1,1200
0.106,11,1,1200
0.107,12,13,1200
0.108,7,8,1200
0.108,8,9,1200
0.109,15,0,1200
0.109,11,12,1200
0.111,15,0,1200
0.112,8,9,1200
0.113,9,10,1200
0.113,0,1,1200
0.114,5,6,1200
0.115,2,3,1200
0.115,3,4,1200
0.118,11,12,1200
0.118,2,3,1200
0.118,12,13,1200
0.119,4,5,1200
0.119,2,3,1200
0.122,7,8,1200
0.123,10,11,1200
0.124,2,3,1200
0.124,1,2,1200
0.125,9,10,1200
0.126,6,7,1200
0.128,14,15,1200
0.129,6,7,1200
0.129,15,0,1200
0.129,0,1,1200
0.130,9,10,1200
0.132,0,1,1200
0.132,1,2,1200
0.133,1,2,1200
0.133,8,9,1200
0.134,3,4,1200
0.134,15,0,1200
0.134,6,7,1200
0.136,6,7,1200
0.136,11,12,1200
0.137,12,13,1200
0.138,1,2,1200
0.140,7,8,1200
0.146,11,12,1200
0.147,1,2,1200
0.148,11,12,1200
0.148,0,1,1200
0.150,0,1,1200
0.151,6,7,1200
0.155,6,7,1200
0.155,12,13,1200
0.156,14,15,1200
0.160,14,15,1200
0.162,8,9,1200
0.163,13,14,1200
0.163,15,0,1200
0.163,9,10,1200
0.164,3,4,1200
0.164,5,6,1200
0.165,9,10,1200
0.165,13,14,1200
0.166,1,2,1200
0.168,0,1,1200
0.169,0,1,1200
0.169,7,8,1200
0.169,6,7,1200
0.169,14,15,1200
0.170,6,7,1200
0.171,5,6,1200
0.173,3,4,1200
0.175,8,9,1200
0.177,12,13,1200
0.178,14,15,1200
0.178,13,14,1200
0.179,12,13,1200
0.180,10,11,1200
0.180,7,12,1200
0.182,6,7,1200
0.183,5,6,1200
0.186,3,4,1200
0.186,9,10,1200
0.188,9,10,1200
0.190,13,14,1200
0.190,12,13,1200
0.192,14,15,1200
0.194,4,5,1200
0.195,2,3,1200
0.195,4,5,1200
0.196,2,3,1200
0.196,5,6,1200
0.197,13,14,1200
0.198,11,12,1200
0.201,1,2,1200
0.201,2,3,1200
0.203,0,1,1200
0.207,1,2,1200
0.208,13,14,1200
0.209,10,11,1200
0.209,10,11,1200
0.211,5,6,1200
0.213,5,6,1200
0.213,2,3,1200
0.214,3,4,1200
0.214,3,4,1200
0.217,9,10,1200
0.221,7,8,1200
0.222,7,8,1200
0.223,15,0,1200
0.224,2,3,1200
0.225,0,1,1200
0.226,4,5,1200
0.226,15,0,1200
0.227,5,6,1200
0.229,8,9,1200
0.229,7,8,1200
0.229,5,6,1200
0.230,3,4,1200
0.231,5,6,1200
0.231,7,8,1200
0.233,10,11,1200
0.234,9,10,1200
0.239,12,13,1200
0.240,0,1,1200
0.241,4,5,1200
0.241,6,7,1200
0.244,12,13,1200
0.244,12,13,1200
0.244,4,5,1200
0.244,10,11,1200
0.246,7,8,1200
0.247,5,6,1200
0.250,11,12,1200
0.250,4,5,1200
0.250,7,8,1200
0.251,15,0,1200
0.251,9,10,1200
0.251,15,0,1200
0.252,10,11,1200
0.253,2,3,1200
0.253,15,0,1200
0.253,15,0,1200
0.254,11,12,1200
0.254,5,6,1200
0.257,8,9,1200
0.258,12,13,1200
0.259,15,0,1200
0.259,13,14,1200
0.260,12,13,1200
0.262,6,7,1200
0.263,6,7,1200
0.264,3,4,1200
0.264,1,2,1200
0.265,15,0,1200
0.265,15,0,1200
0.265,11,12,1200
0.266,10,11,1200
0.266,4,5,1200
0.267,2,3,1200
0.268,0,1,1200
0.271,0,1,1200
0.271,15,0,1200
0.272,0,1,1200
0.272,1,2,1200
0.272,3,4,1200
0.272,14,15,1200
0.273,2,3,1200
0.273,1,2,1200
0.275,8,9,1200
0.277,12,13,1200
0.278,1,2,1200
0.278,14,15,1200
0.280,11,12,1200
0.281,5,6,1200
0.281,10,11,1200
0.281,12,13,1200
0.282,3,4,1200
0.283,9,10,1200
0.287,6,7,1200
0.287,15,0,1200
0.288,3,4,1200
0.288,5,6,1200
0.289,13,14,1200
0.289,1,2,1200
0.290,6,7,1200
0.291,2,3,1200
0.291,6,7,1200
0.292,3,4,1200
0.294,4,5,1200
0.296,7,8,1200
0.296,5,6,1200
0.297,9,10,1200
0.299,3,4,1200
0.299,2,3,1200
0.299,2,3,1200
0.299,2,3,1200
0.300,13,14,1200
0.301,11,12,1200
0.302,11,12,1200
0.302,6,7,1200
0.303,2,3,1200
0.303,12,13,1200
0.304,9,10,1200
0.304,1,2,1200
0.306,5,6,1200
0.306,15,0,1200
0.310,1,2,1200
0.313,5,6,1200
0.316,8,9,1200
0.319,14,15,1200
0.319,5,6,1200
0.321,1,2,1200
0.321,3,4,1200
0.322,4,5,1200
0.322,7,8,1200
0.322,14,15,1200
0.325,0,1,1200
0.325,7,8,1200
0.325,6,7,1200
0.325,3,4,1200
0.327,3,4,1200
0.328,3,4,1200
